id,first_name,last_name,email,gender,class,team
1,Jamaal,Spadelli,jspadelli0@techcrunch.com,Male,1v,nosr
2,Marika,Edlyne,medlyne1@washingtonpost.com,Female,3v,nosr
3,Linn,Huff,lhuff2@shareasale.com,Non-binary,1v,""
4,Daria,Poge,dpoge3@google.ru,Female,2v,nosr
5,Annalise,Flieg,aflieg4@cbslocal.com,Female,2v,nosr
6,Ardyth,Mickan,amickan5@spiegel.de,Female,2v,nosr
7,Ilsa,Carswell,icarswell6@cam.ac.uk,Female,3v,vulkan
8,Drugi,Allberry,dallberry7@youku.com,Male,1v,swot
9,Marion,Tidcombe,mtidcombe8@mozilla.org,Male,1v,vulkan
10,Sid,Longo,slongo9@technorati.com,Male,1v,nosr
11,Yorgo,Cattenach,ycattenacha@nba.com,Male,3v,vulkan
12,Asher,Woodhouse,awoodhouseb@examiner.com,Male,3v,""
13,Kaylee,Dowding,kdowdingc@wired.com,Female,2v,swot
14,Candis,Amis,camisd@ocn.ne.jp,Female,1v,swot
15,Alleen,Boleyn,aboleyne@cloudflare.com,Female,1v,nosr
16,Garey,Clines,gclinesf@google.it,Male,1v,swot
17,Clementina,Pegrum,cpegrumg@unblog.fr,Female,2v,swot
18,Reeva,McIndoe,rmcindoeh@ifeng.com,Female,1v,nosr
19,Mariann,Wein,mweini@skyrock.com,Female,3v,swot
20,Valera,Coppard,vcoppardj@flavors.me,Female,3v,swot
21,Curtis,Gilluley,cgilluleyk@eepurl.com,Male,2v,vulkan
22,Paulie,Eck,peckl@noaa.gov,Female,3v,nosr
23,Dalila,Laxon,dlaxonm@qq.com,Genderqueer,2v,""
24,Eda,Cordoba,ecordoban@freewebs.com,Female,3v,nosr
25,Bettine,Beardwell,bbeardwello@statcounter.com,Genderqueer,3v,nosr
26,Jodie,Roblett,jroblettp@auda.org.au,Female,3v,swot
27,Yoshi,Fance,yfanceq@mit.edu,Polygender,3v,vulkan
28,Rube,Blizard,rblizardr@tamu.edu,Male,2v,""
